event_id,phase,procedure_id,title,action,inputs,outputs,result
EVT-01,discovery,FR-01,Inventory uploaded package,"Enumerated the input package and confirmed presence of reserve engine, loan-level data, scenarios, prior outputs, and CECL methodology documents.","['input_package/model/cecl_engine.py', 'input_package/data/loan_level_snapshot.csv', 'input_package/scenarios/*.csv', 'input_package/docs/*.md']","['outputs/support/discovery_summary.md', 'outputs/support/evidence_ledger.json']",Case classified as execution-capable CECL review with no material runtime blockers.
EVT-02,planning,FR-01,Select review lanes,"Chose baseline reproduction, scenario reruns, sensitivity testing, reserve bridge, and documentation challenge as the primary review lanes.","['outputs/support/discovery_summary.md', 'input_package/docs/methodology.md', 'input_package/docs/overlay_memo.md']","['outputs/support/review_plan.md', 'outputs/support/review_strategy.md']",Ten executable procedures selected; none blocked.
EVT-03,execution,FR-02,Reproduce packaged baseline reserve,Reran the packaged engine under the baseline scenario and reconciled the reproduced reserve to the supplied baseline reserve file.,"['input_package/model/cecl_engine.py', 'input_package/data/loan_level_snapshot.csv', 'input_package/scenarios/baseline.csv', 'input_package/outputs/prior_baseline_reserve.csv']",['outputs/support/baseline_reproduction.json'],Packaged reserve 4876841.47; rerun reserve 4876841.47; absolute delta 0.00.
EVT-04,execution,FR-03,"Run baseline, adverse, and severe scenarios",Executed the reserve engine across the three supplied scenario paths and aggregated total reserve results.,"['input_package/model/cecl_engine.py', 'input_package/data/loan_level_snapshot.csv', 'input_package/scenarios/baseline.csv', 'input_package/scenarios/adverse.csv', 'input_package/scenarios/severe.csv']",['outputs/support/scenario_results.csv'],Portfolio reserve moved from 4876841.47 to 7132021.97 to 8287703.47.
EVT-05,execution,FR-04,Check segment-level scenario ordering,"Compared segment reserve amounts across baseline, adverse, and severe scenarios to test directional reasonableness by segment.","['outputs/support/scenario_results.csv', 'input_package/docs/scenario_assumptions.md', 'input_package/docs/overlay_memo.md']",['outputs/support/segment_reserve_comparison.csv'],Residential Mortgage reserve fell from 327699.21 in adverse to 217710.91 in severe.
EVT-06,execution,FR-05,Run forecast-horizon sensitivity,Tested baseline reserve under alternate forecast horizons to challenge the documented 4-quarter assumption versus the 6-quarter implementation.,"['input_package/docs/methodology.md', 'input_package/model/cecl_engine.py']",['outputs/support/sensitivity_results.csv'],"Changing the baseline forecast horizon from 6 quarters to 4 quarters changed reserve modestly, but confirmed a policy-versus-implementation mismatch."
EVT-07,execution,FR-06,Run reversion-speed sensitivity,Re-estimated severe-scenario reserve using longer reversion periods to test sensitivity to the reversion assumption.,"['input_package/docs/methodology.md', 'input_package/model/cecl_engine.py']",['outputs/support/sensitivity_results.csv'],Extending severe reversion from 2 to 6 quarters increased reserve from 8287703.47 to 8472904.31.
EVT-08,execution,FR-07,Run macro-severity scaling sensitivity,Scaled severe macro stress to test whether reserve responds monotonically to harsher macro conditions.,"['input_package/scenarios/severe.csv', 'input_package/model/cecl_engine.py']",['outputs/support/sensitivity_results.csv'],Increasing severe macro scaling from 1.00x to 1.25x increased reserve from 8287703.47 to 9803105.55.
EVT-09,execution,FR-08,Run overlay-magnitude sensitivity,Removed and amplified overlays to measure how much of the severe reserve outcome is attributable to overlay posture.,"['input_package/data/overlay_schedule.csv', 'input_package/docs/overlay_memo.md']",['outputs/support/sensitivity_results.csv'],Removing severe overlays reduced reserve from 8287703.47 to 7850916.88; amplifying to 1.50x raised reserve to 8506096.88.
EVT-10,execution,FR-09,Build reserve-driver bridge,Constructed a simple driver bridge to attribute severe-versus-baseline reserve movement to major macro and overlay factors.,"['input_package/scenarios/baseline.csv', 'input_package/scenarios/severe.csv', 'input_package/model/cecl_engine.py']",['outputs/support/driver_bridge.csv'],"CRE price growth was the largest standalone driver, contributing 1108566.01 of severe-versus-baseline reserve change."
EVT-11,documentation_challenge,FR-10,Cross-check methodology against implementation,"Compared documented forecast, reversion, scenario, and overlay assumptions to the implemented engine constants and quantitative outputs.","['input_package/docs/methodology.md', 'input_package/docs/model_overview.md', 'input_package/docs/overlay_memo.md', 'input_package/model/cecl_engine.py', 'outputs/support/segment_reserve_comparison.csv']","['outputs/support/documentation_crosscheck.md', 'outputs/support/findings_register.json']","Recorded horizon/reversion mismatch, overlay-cap mismatch, and severe Residential Mortgage anomaly as formal findings."
EVT-12,synthesis,FR-10,Assemble internal review pack,"Combined discovery, planning, quantitative outputs, documentation challenge, and evidence mapping into the final internal-review report pack.","['outputs/support/review_strategy.md', 'outputs/support/procedure_run_log.md', 'outputs/support/findings_register.json', 'outputs/support/evidence_map.md']","['outputs/stakeholder/cecl_review_memo.tex', 'outputs/stakeholder/cecl_review_memo.pdf']","Produced a comprehensive internal CECL review memo with explicit provenance, raw evidence excerpts, and procedure-level detail."
