event_id,phase,procedure_id,title,action,inputs,outputs,result
EVT-01,discovery,GA-01,Inventory uploaded package,"Enumerated the documentation package and checked whether a reserve engine, reproducibility notebook, and execution lineage were present.","['input_package/docs/*.md', 'input_package/scenarios/*.csv', 'input_package/outputs/*.csv']","['outputs/support/discovery_summary.md', 'outputs/support/evidence_ledger.json']",Case classified as documentation-led CECL gap assessment because runtime artifacts were not supplied.
EVT-02,planning,GA-01,Define supported and blocked review lanes,Separated executable documentation-led checks from blocked runtime procedures before deeper review work.,"['outputs/support/discovery_summary.md', 'input_package/docs/evidence_request_log.md', 'input_package/docs/gap_tracker.md']","['outputs/support/review_plan.md', 'outputs/support/review_strategy.md', 'outputs/support/coverage_statement.md']","Evidence sufficiency, scenario consistency, output reconciliation, and overlay review retained; baseline reproduction and sensitivities blocked."
EVT-03,documentation_challenge,GA-02,Assess execution readiness and lineage,Reviewed governance and evidence-request materials to determine whether the package could support model execution or reproduction.,"['input_package/docs/evidence_request_log.md', 'input_package/docs/gap_tracker.md', 'input_package/docs/governance_minutes.md']","['outputs/support/coverage_statement.md', 'outputs/support/documentation_crosscheck.md']","Confirmed that no reserve engine, reproducibility notebook, or lineaged runbook was available."
EVT-04,documentation_challenge,GA-03,Compare scenario narrative to numeric scenario files,Compared the severe scenario narrative to quarter-by-quarter severe and adverse scenario tables.,"['input_package/docs/scenario_assumptions.md', 'input_package/scenarios/adverse.csv', 'input_package/scenarios/severe.csv']","['outputs/support/documentation_crosscheck.md', 'outputs/support/findings_register.json']","Found severe house-price growth less severe than adverse in 4 quarter(s): 2026Q3, 2026Q4, 2027Q1, 2027Q2."
EVT-05,documentation_challenge,GA-04,Reconcile horizon and reversion descriptions,"Compared methodology, model overview, and scenario package to determine whether one consistent forecast and reversion structure was evidenced.","['input_package/docs/methodology.md', 'input_package/docs/model_overview.md', 'input_package/docs/scenario_assumptions.md']","['outputs/support/documentation_crosscheck.md', 'outputs/support/findings_register.json']",Identified inconsistent 8Q/4Q and 6Q/2Q horizon descriptions with only six numeric quarters provided.
EVT-06,documentation_challenge,GA-05,Reconcile documented segments to output segments,Compared documented segment taxonomy to the segments used in the provided reserve output files.,"['input_package/docs/methodology.md', 'input_package/docs/model_overview.md', 'input_package/outputs/provided_segment_reserves.csv']",['outputs/support/findings_register.json'],Documentation lists 5 segments while provided outputs reconcile to 4 segments.
EVT-07,documentation_challenge,GA-06,Reconcile documented overlay cap to provided overlay bridge,Compared the documented overlay cap and governance description to the segment overlay values in the provided bridge.,"['input_package/docs/overlay_memo.md', 'input_package/outputs/provided_overlay_bridge.csv']",['outputs/support/findings_register.json'],Documented overlay cap of 6.0 bps did not reconcile to provided overlay values reaching 18.0 bps.
EVT-08,blocked_work,GA-07,Record blocked baseline reproduction,Evaluated whether baseline reproduction could be performed and formally logged why it was not executed.,"['input_package/outputs/provided_reserve_summary.csv', 'input_package/docs/evidence_request_log.md']","['outputs/support/coverage_statement.md', 'outputs/support/evidence_request_list.md']",Baseline reproduction blocked because no reserve engine or reproducibility notebook was supplied.
EVT-09,blocked_work,GA-08,Record blocked scenario reruns and sensitivity testing,Evaluated whether scenario reruns and sensitivity tests could be performed and formally logged why they were not executed.,"['input_package/scenarios/*.csv', 'input_package/docs/gap_tracker.md']","['outputs/support/coverage_statement.md', 'outputs/support/evidence_request_list.md']","Sensitivity testing blocked because no model implementation, controllable parameters, or runbook support was supplied."
EVT-10,synthesis,GA-09,Assemble internal gap-assessment pack,"Combined discovery, coverage boundary, documentation findings, and evidence requests into the final internal gap-assessment report pack.","['outputs/support/review_strategy.md', 'outputs/support/procedure_run_log.md', 'outputs/support/findings_register.json', 'outputs/support/evidence_request_list.md']","['outputs/stakeholder/cecl_gap_assessment.tex', 'outputs/stakeholder/cecl_gap_assessment.pdf']",Produced a comprehensive CECL gap assessment showing both executed documentation-led work and blocked runtime work.
